white;black;event;year;heatmap
Kasparov, Gary;Karpov, Anatoly;1990;0.34,0.52,0.59,0.89,0.7,0.07,1.0,0.71,0.05,0.19,0.06,0.16,0.0,0.12,0.19,0.12,0.09,0.08,0.44,0.0,0.04,0.27,0.0,0.15,0.07,-0.31,0.09,0.19,0.16,0.0,0.03,0.0,-0.12,-0.3,0.0,-0.04,-0.06,0.02,0.16,0.0,-0.42,-0.04,-0.19,-0.07,-0.08,-0.26,-0.11,-0.19,-0.14,-0.18,-0.1,-0.07,-0.32,-0.17,-0.08,-0.92,-0.37,-0.03,-0.27,-0.68,-0.74,-0.29,-0.72,-0.17
Fischer, Robert James;Foguelman, Alberto;1960;0.69,0.04,0.2,0.59,0.49,0.18,0.15,1.0,0.11,0.16,0.4,-0.02,-0.1,0.0,0.1,0.07,0.09,0.0,0.8,0.1,0.04,-0.02,0.16,0.01,0.0,-0.03,-0.02,0.0,0.32,0.06,-0.13,0.13,-0.04,-0.29,-0.14,-0.08,-0.07,0.12,0.0,0.0,-0.04,-0.61,-0.12,-0.46,0.12,-0.13,0.0,0.0,-0.15,-0.08,-0.53,-0.04,0.06,0.07,0.04,-0.1,-0.34,-0.19,-0.36,-0.49,-0.7,-0.27,-0.09,-0.58
Garais, I.;Fischer, Robert James;1957;0.61,0.08,0.18,1.0,0.44,0.33,0.64,0.29,0.12,0.12,0.12,0.12,0.26,0.04,0.27,0.05,0.0,0.0,0.15,0.0,0.13,0.03,0.04,0.07,0.0,-0.05,0.0,0.05,0.11,0.05,0.05,0.0,0.0,-0.02,-0.06,0.04,-0.05,0.0,-0.02,0.0,-0.09,0.0,0.0,-0.11,0.0,-0.17,0.0,0.0,-0.03,-0.24,-0.42,-0.23,-0.19,-0.12,-0.12,-0.12,-0.51,-0.15,-0.19,-0.62,-0.48,-0.43,-0.76,-0.23
Benko, Pal C;Fischer, Robert James;1958;0.45,0.06,0.18,0.67,0.31,0.48,1.0,0.17,0.14,0.05,0.22,0.0,0.11,0.14,0.2,0.14,0.0,0.03,0.3,0.0,0.11,0.0,0.12,0.15,0.09,0.0,0.06,0.05,0.0,0.11,0.0,0.0,-0.09,-0.01,-0.1,0.01,0.04,0.0,0.0,0.0,-0.09,-0.06,-0.1,-0.02,-0.04,-0.21,-0.13,0.0,-0.05,-0.06,-0.02,-0.21,-0.1,-0.14,-0.27,-0.14,-0.21,-0.22,-0.25,-0.9,-0.37,-0.52,-0.99,-0.09
Spassky, Boris V;Fischer, Robert James;1992;0.38,0.04,0.14,1.0,0.24,0.57,0.58,0.14,-0.02,-0.02,0.07,0.03,0.17,0.06,0.55,0.04,0.02,0.0,0.25,0.02,0.16,0.0,0.11,0.09,-0.05,-0.03,0.0,0.01,0.03,0.09,0.0,0.0,0.0,-0.01,-0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.06,-0.18,0.06,0.0,-0.13,-0.1,0.0,0.07,-0.05,-0.01,-0.09,-0.09,-0.13,-0.32,-0.13,-0.2,-0.23,-0.13,-0.93,-0.46,-0.56,-0.87,-0.17
Wexler, Bernardo;Fischer, Robert James;1960;0.23,0.29,0.93,0.2,0.59,0.23,1.0,0.15,0.09,0.04,0.0,0.16,0.05,0.14,0.3,0.05,0.0,0.0,0.08,0.02,0.1,0.09,0.12,0.11,0.05,0.01,0.04,-0.02,0.02,0.14,-0.02,0.08,-0.08,0.05,0.07,-0.02,-0.01,-0.09,0.06,0.0,0.0,0.04,-0.14,0.01,-0.05,-0.1,-0.12,-0.07,-0.05,-0.13,-0.25,-0.11,-0.56,-0.14,-0.36,-0.68,-0.42,-0.25,-0.24,-0.46,-0.12,-0.4,-0.45,-0.07
Unzicker, Wolfgang;Fischer, Robert James;1960;0.51,0.24,0.28,0.79,0.52,0.08,0.71,0.18,0.11,0.06,0.02,0.03,0.0,0.11,0.11,0.11,0.0,0.0,0.07,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.0,-0.06,0.0,0.0,0.16,-0.04,-0.03,0.01,-0.0,0.0,0.0,0.0,-0.18,-0.2,0.0,0.0,-0.09,0.0,0.0,-0.11,-0.07,-0.11,-0.05,-0.01,-0.1,-0.11,-0.11,-0.56,-0.04,-0.2,-1.0,-0.35,-0.42,-0.73,-0.2
Fischer, Robert James;Spassky, Boris V;1972;1.0,0.52,0.37,0.39,0.56,0.34,0.02,0.37,0.07,0.18,0.07,0.77,0.37,0.07,0.1,0.18,0.11,-0.11,0.2,0.19,0.0,0.13,0.08,0.0,-0.12,0.06,-0.45,0.11,0.23,0.13,0.0,0.0,-0.28,-0.03,-0.25,-0.11,-0.11,0.11,0.06,0.06,-0.03,-0.26,-0.3,-0.2,-0.09,-0.2,0.07,0.07,-0.03,-0.11,-0.45,-0.52,-0.33,-0.02,-0.04,0.01,-0.32,-0.36,-0.25,-0.51,-0.75,-0.1,-0.06,-0.53
Spassky, Boris V;Fischer, Robert James;1992;0.3,0.81,0.25,0.33,0.5,0.35,0.07,0.58,0.12,0.15,0.04,1.0,0.08,0.13,0.1,0.03,0.0,-0.02,0.16,0.1,0.22,0.14,0.1,0.08,0.0,-0.0,0.08,-0.09,0.14,0.0,0.0,0.12,0.0,-0.09,-0.02,0.11,-0.12,0.0,0.05,-0.12,-0.09,-0.07,-0.0,-0.14,-0.09,-0.22,-0.15,0.01,-0.24,-0.06,-0.14,-0.05,-0.5,-0.15,-0.79,-0.03,-0.15,-0.37,-0.28,-0.65,-0.44,-0.38,-0.22,-0.52
Fischer, Robert James;Eliskases, Erich Gottlieb;1960;0.4,0.11,0.23,0.47,0.46,0.09,1.0,0.07,0.05,0.13,0.16,0.05,0.25,0.13,0.05,0.12,0.0,0.04,0.11,0.0,0.14,0.14,0.04,0.03,0.03,0.0,-0.05,0.05,0.13,-0.12,0.16,0.01,-0.05,-0.07,-0.03,0.12,-0.09,-0.0,0.01,-0.19,-0.04,0.0,-0.26,-0.0,-0.04,-0.13,-0.07,0.01,-0.01,-0.02,-0.5,-0.02,-0.15,-0.12,-0.05,-0.1,-0.47,-0.17,-0.17,-0.5,-0.22,-0.14,-0.83,-0.1
Fischer, Robert James;Incutto, Carlos;1960;0.32,0.08,0.17,0.49,0.38,0.04,1.0,0.05,0.05,0.1,0.05,0.04,0.11,0.11,0.11,0.02,0.0,0.01,0.01,0.09,0.13,0.1,0.01,0.1,0.03,0.0,0.03,-0.08,-0.02,0.0,0.14,0.0,-0.11,-0.03,-0.0,0.0,-0.06,-0.03,0.09,0.0,-0.05,0.01,-0.05,-0.06,-0.02,-0.15,-0.04,0.17,0.02,-0.13,-0.44,-0.04,-0.26,-0.05,-0.15,-0.12,-0.18,-0.01,-0.16,-0.23,-0.13,-0.45,-0.44,-0.53
